"Animal Species","Sedimentation_Ascaris","Sedimentation_Trichuris","Sedimentation_Hookworm","Sedimentation_Schistosoma","Flotation_Ascaris","Flotation_Trichuris","Flotation_Hookworm","Flotation_Schistosoma","McMaster_Ascaris","McMaster_Trichuris","McMaster_Hookworm","McMaster_Schistosoma"
"Cats",0,0,1,0,0,0,1,0,0,0,3,0
"Cats",0,0,1,1,0,0,1,0,0,0,1,0
"Cats",0,0,0,0,0,0,0,0,0,0,0,0
"Cats",0,0,0,0,0,0,0,0,0,0,0,0
"Cats",0,0,0,0,0,0,0,0,0,0,0,0
"Cats",0,0,0,0,0,0,1,0,0,0,1,0
"Cats",0,0,1,0,0,1,1,0,0,0,2,0
"Cats",0,0,1,0,0,0,1,0,0,0,2,0
"Cats",0,0,1,0,0,0,1,0,0,0,4,0
"Cats",0,0,0,0,0,0,0,0,0,0,0,0
"Cats",0,0,1,0,0,0,1,0,0,0,1,0
"Cats",0,0,1,0,0,0,1,0,0,0,1,0
"Cats",0,0,0,0,0,0,0,0,0,0,0,0
"Cats",0,0,0,0,0,0,0,0,0,0,0,0
"Cats",0,0,0,0,0,0,0,0,0,0,0,0
"Cats",0,0,1,0,0,0,1,0,0,0,3,0
"Cats",0,1,1,0,0,1,1,0,0,4,2,0
"Cats",0,0,0,0,0,0,0,0,0,0,0,0
"Cats",0,0,0,0,0,0,0,0,0,0,0,0
"Cats",0,0,1,0,0,0,1,0,0,0,0,0
"Cats",0,0,0,0,0,0,0,0,0,0,0,0
"Cats",0,0,0,0,0,0,0,0,0,0,0,0
"Cats",0,0,0,0,0,0,0,0,0,0,0,0
"Cats",0,0,0,0,0,0,0,0,0,0,0,0
"Cats",0,0,0,0,0,0,0,0,0,0,0,0
"Cats",0,0,0,0,0,0,0,0,0,0,0,0
"Cats",0,0,0,0,0,0,0,0,0,0,0,0
"Cattle",0,0,0,0,0,0,0,0,0,0,0,0
"Cattle",0,0,0,0,0,0,0,0,0,0,0,0
"Cattle",0,0,0,0,0,0,0,0,0,0,0,0
"Cattle",0,0,0,0,0,0,0,0,0,0,0,0
"Cattle",0,0,0,0,0,0,0,0,0,0,0,0
"Cattle",0,0,1,0,0,0,1,0,0,0,1,0
"Cattle",0,0,0,0,0,0,0,0,0,0,0,0
"Cattle",0,0,0,0,0,0,0,0,0,0,0,0
"Cattle",0,0,0,0,0,0,0,0,0,0,0,0
"Cattle",0,0,0,0,0,0,0,0,0,0,0,0
"Cattle",0,0,1,0,0,0,1,0,0,0,1,0
"Cattle",0,0,0,0,0,0,0,0,0,0,0,0
"Cattle",0,0,0,0,0,0,0,0,0,0,0,0
"Cattle",0,0,0,0,0,0,0,0,0,0,0,0
"Cattle",0,0,0,0,0,0,0,0,0,0,0,0
"Cattle",0,0,0,0,0,0,0,0,0,0,0,0
"Cattle",0,0,0,0,0,0,0,0,0,0,0,0
"Cattle",0,0,0,0,0,0,0,0,0,0,0,0
"Cattle",0,0,0,0,0,0,0,0,0,0,0,0
"Cattle",0,0,0,0,0,0,1,0,0,0,1,0
"Cattle",0,0,0,0,0,0,0,0,0,0,0,0
"Cattle",0,0,0,0,0,0,0,0,0,0,0,0
"Cattle",0,0,1,0,0,0,0,0,0,0,1,0
"Cattle",0,0,0,0,0,0,0,0,0,0,0,0
"Cattle",0,0,0,0,0,0,1,0,0,0,1,0
"Cattle",0,0,0,0,0,0,1,0,0,0,1,0
"Dogs",0,0,1,0,0,0,1,0,0,0,5,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,1,0,0,0,0,0,0,0,0,0
"Dogs",0,0,1,0,0,0,1,0,0,0,8,0
"Dogs",0,0,1,0,0,0,1,0,0,0,3,0
"Dogs",0,0,1,0,0,0,1,0,0,0,10,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,1,0,0,0,1,0,0,1,6,0
"Dogs",0,0,1,0,0,0,1,0,0,0,0,0
"Dogs",0,1,0,0,0,1,0,0,0,0,0,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,1,0,0,0,1,0,0,0,2,0
"Dogs",0,0,1,0,0,0,1,0,0,0,0,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,1,0,0,0,1,0,0,0,7,0
"Dogs",0,0,1,0,0,0,1,0,0,0,0,0
"Dogs",0,0,1,0,0,0,1,0,0,0,2,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,1,1,0,0,1,1,0,0,6,1,0
"Dogs",0,0,1,0,0,0,1,0,0,0,1,0
"Dogs",0,0,1,0,0,0,1,0,0,0,1,0
"Dogs",0,0,1,0,0,0,1,0,0,0,3,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,1,0,0,0,1,0,0,0,0,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",1,0,0,0,1,0,0,0,1,0,0,0
"Dogs",0,0,1,0,0,0,1,0,0,0,3,0
"Dogs",1,0,0,0,1,0,0,0,1,0,0,0
"Dogs",0,0,1,0,0,0,1,0,0,0,16,0
"Dogs",0,0,1,0,0,0,1,0,0,0,3,0
"Dogs",1,0,1,0,1,0,1,0,1,0,6,0
"Dogs",0,0,1,0,0,0,1,0,0,0,14,0
"Dogs",0,0,1,0,0,0,1,0,0,0,6,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,1,0,0,0,1,0,0,0,2,0
"Dogs",0,0,1,0,0,0,1,0,0,0,4,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,1,0,0,0,0,0,0,0,0,0
"Dogs",0,0,1,0,0,0,1,0,0,0,2,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,1,0,0,0,0,0,0,0,2,0,0
"Dogs",0,0,1,0,0,0,0,0,0,0,0,0
"Dogs",0,0,0,1,0,0,0,0,0,0,0,0
"Dogs",0,0,1,0,0,0,0,0,0,0,1,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,1,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,1,0,0,0,0,0,0,0,1,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,1,0,0,0,1,0,0,0,4,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,1,0,0,0,1,0,0,0,3,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,1,0,0,0,1,0,0,0,0,0
"Dogs",0,0,1,0,0,0,0,0,0,0,0,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,1,0,0,0,1,0,0,0,2,0
"Dogs",0,1,0,0,0,1,0,0,0,2,0,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,1,0,0,0,1,0,0,0,0,0
"Dogs",0,1,0,0,0,1,0,0,0,0,0,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,1,0,0,0,1,0,0,0,2,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,1,1,0,0,1,0,0,0,2,0
"Dogs",0,0,1,1,0,0,0,0,0,0,1,0
"Dogs",0,0,1,0,0,0,1,0,0,0,1,0
"Dogs",0,1,1,0,0,1,1,0,0,3,5,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,1,0,0,0,1,0,0,0,5,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,1,0,0,0,1,0,0,0,1,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,1,0,0,0,1,0,0,0,1,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,0,0,0,0,0,0,0,0,0,0
"Dogs",0,0,0,0,0,1,0,0,0,2,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,1,0,0,0,1,0,0,0,1
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,1,0,0,0,1,0,0,0,5,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,1,0,0,0,1,0,0,0,1,0,0
"Pigs",0,0,1,1,0,0,1,0,0,0,1,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",1,0,1,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,1,0,0,0,1,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,1,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,1,0,0,0,1,0,0,0,1,0
"Pigs",0,1,1,0,0,1,1,0,0,1,1,0
"Pigs",1,0,0,0,1,0,0,0,11,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,1,1,0,0,1,0,0,0,6,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,1,0,0,0,0,0,0,0,6,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,1,0,0,0,1,0,0,0,5,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,1,0,0,0,1,0,0,0,2,0
"Pigs",0,1,1,1,0,0,1,0,0,0,2,0
"Pigs",0,0,0,0,0,0,1,0,0,0,0,0
"Pigs",1,1,1,0,1,1,1,0,2,2,2,0
"Pigs",0,1,1,0,0,1,1,0,0,2,6,0
"Pigs",1,0,1,0,0,0,0,0,7,0,3,0
"Pigs",1,1,0,0,0,1,0,0,0,2,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",1,1,1,0,0,1,0,0,0,2,0,0
"Pigs",1,1,1,0,0,0,0,0,1,1,2,0
"Pigs",1,1,1,0,0,0,0,0,0,0,0,0
"Pigs",0,1,1,0,0,0,0,0,0,2,1,0
"Pigs",0,1,1,0,0,1,0,0,0,4,1,0
"Pigs",1,0,0,0,0,0,0,0,2,0,0,0
"Pigs",1,0,1,0,0,0,0,0,0,0,0,0
"Pigs",0,1,1,0,0,1,1,0,0,2,2,0
"Pigs",1,1,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,1,0,0,0,0,0,0,0,0,0
"Pigs",0,0,1,0,0,0,1,0,0,0,1,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,1,0,0,0,1,0,0,0,4,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",1,1,1,0,1,1,1,0,3,3,2,0
"Pigs",1,1,1,0,1,1,1,0,4,1,1,0
"Pigs",1,0,1,0,1,0,1,0,9,0,1,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,1,0,0,0,1,0
"Pigs",1,1,1,0,1,1,1,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,1,0,0,0,1,0,0,0,2,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,1,0,0,0,1,0,0,0,1,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,1,0,0,0,1,0,0,0,36,0,0
"Pigs",1,0,0,0,1,0,0,0,2,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,1,0,0,0,1,0,0,0,1,0
"Pigs",1,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,1,0,0,0,1,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",1,1,1,0,1,1,1,0,12,17,2,0
"Pigs",0,0,1,0,0,0,0,0,0,0,0,0
"Pigs",0,0,1,0,0,0,1,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,1,0,0,0,1,0,0,0,5,0
"Pigs",1,0,1,1,1,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,1,0,0,0,1,0,0,0,1,0
"Pigs",0,0,1,0,0,0,1,0,0,0,2,0
"Pigs",0,0,0,0,0,0,1,0,0,0,0,0
"Pigs",0,0,1,0,0,0,1,0,0,0,2,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,1,1,0,0,1,1,0,0,1,1,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,1,0,0,0,1,0,0,0,12,0
"Pigs",0,0,1,0,0,0,1,0,0,0,9,0
"Pigs",0,0,0,1,0,0,0,1,0,0,0,4
"Pigs",0,0,1,0,0,0,1,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,1,0,0,0,1,0,0,0,1,0,0
"Pigs",0,0,1,0,0,0,1,0,0,0,0,0
"Pigs",0,0,1,0,0,0,1,0,0,0,6,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,1,0,0,0,1,0,0,0,1,0
"Pigs",0,0,1,0,0,0,1,0,0,0,2,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,1,1,0,0,1,1,0,0,2,0,0
"Pigs",0,0,1,0,0,0,1,0,0,0,1,0
"Pigs",0,0,1,0,0,0,1,0,0,0,7,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,1,0,0,0,1,0,0,0,20,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,1,0,0,0,1,0,0,0,3,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,0,0,0,0,0,0,0,0,0,0
"Pigs",0,0,1,0,0,0,1,0,0,0,3,0
"Water Buffalo",0,0,0,0,0,0,0,0,0,0,0,0
"Water Buffalo",0,0,0,0,0,0,0,0,0,0,0,0
"Water Buffalo",0,0,0,0,0,0,0,0,0,0,0,0
"Water Buffalo",0,0,0,0,0,0,0,0,0,0,0,0
"Water Buffalo",0,0,0,0,0,0,0,0,0,0,0,0
"Water Buffalo",0,0,0,0,0,0,0,0,0,0,0,0
"Water Buffalo",0,0,0,0,0,0,0,0,0,0,0,0
"Water Buffalo",0,0,0,0,0,0,0,0,0,0,0,0
"Water Buffalo",0,0,0,0,0,0,0,0,0,0,0,0
"Water Buffalo",0,0,0,0,0,0,0,0,0,0,0,0
"Water Buffalo",0,0,0,0,0,0,0,0,0,0,0,0
"Water Buffalo",0,0,0,0,0,0,0,0,0,0,0,0
"Water Buffalo",0,0,0,0,0,0,0,0,0,0,0,0
"Water Buffalo",0,0,0,0,0,0,0,0,0,0,0,0
"Water Buffalo",0,0,1,0,0,0,1,0,0,0,1,0
"Water Buffalo",0,0,0,0,0,0,0,0,0,0,0,0
"Water Buffalo",0,0,0,0,0,0,0,0,0,0,0,0
"Water Buffalo",0,0,0,0,0,0,0,0,0,0,0,0
"Water Buffalo",0,0,1,0,0,0,1,0,0,0,1,0
"Water Buffalo",0,0,0,0,0,0,0,0,0,0,0,0
"Water Buffalo",0,0,0,0,0,0,0,0,0,0,0,0
"Water Buffalo",0,0,0,0,0,0,0,0,0,0,0,0
"Water Buffalo",0,0,0,0,0,0,0,0,0,0,0,0
"Water Buffalo",0,0,0,0,0,0,0,0,0,0,0,0
"Water Buffalo",0,0,0,0,0,0,0,0,0,0,0,0
"Water Buffalo",0,0,0,0,0,0,0,0,0,0,0,0
"Water Buffalo",0,0,0,0,0,0,0,0,0,0,0,0
"Water Buffalo",0,0,0,0,0,0,0,0,0,0,0,0
"Water Buffalo",0,0,0,0,0,0,0,0,0,0,0,0
"Water Buffalo",0,0,0,0,0,0,0,0,0,0,0,0
"Water Buffalo",0,0,0,0,0,0,0,0,0,0,0,0
